,country_id,country_name,continent_name,date,confirmed,deaths,recovered,active,case_fatality,new_cases,new_deaths,new_recovered,population,vaccinated_per_hundred,fully_vaccinated_per_hundred,boosted_per_hundred,not_fully_vaccinated_per_hundred,hospital_occupancy
57,AUS,Australia,Oceania,2020-03-19,681.0,6.0,26.0,649.0,0.88,113.0,0.0,3.0,25687041.0,0.0,0.0,0.0,0.0,0.0
58,AUS,Australia,Oceania,2020-03-20,791.0,7.0,26.0,758.0,0.88,110.0,1.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
59,AUS,Australia,Oceania,2020-03-21,1071.0,7.0,26.0,1038.0,0.65,280.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
60,AUS,Australia,Oceania,2020-03-22,1549.0,7.0,88.0,1454.0,0.45,478.0,0.0,62.0,25687041.0,0.0,0.0,0.0,0.0,0.0
61,AUS,Australia,Oceania,2020-03-23,1682.0,7.0,88.0,1587.0,0.42,133.0,0.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
62,AUS,Australia,Oceania,2020-03-24,2044.0,8.0,115.0,1921.0,0.39,362.0,1.0,27.0,25687041.0,0.0,0.0,0.0,0.0,0.0
63,AUS,Australia,Oceania,2020-03-25,2364.0,8.0,119.0,2237.0,0.34,320.0,0.0,4.0,25687041.0,0.0,0.0,0.0,0.0,0.0
64,AUS,Australia,Oceania,2020-03-26,2810.0,13.0,172.0,2625.0,0.46,446.0,5.0,53.0,25687041.0,0.0,0.0,0.0,0.0,0.0
65,AUS,Australia,Oceania,2020-03-27,3143.0,13.0,194.0,2936.0,0.41,333.0,0.0,22.0,25687041.0,0.0,0.0,0.0,0.0,0.0
66,AUS,Australia,Oceania,2020-03-28,3640.0,14.0,244.0,3382.0,0.38,497.0,1.0,50.0,25687041.0,0.0,0.0,0.0,0.0,0.0
67,AUS,Australia,Oceania,2020-03-29,3984.0,16.0,244.0,3724.0,0.4,344.0,2.0,0.0,25687041.0,0.0,0.0,0.0,0.0,0.0
68,AUS,Australia,Oceania,2020-03-30,4361.0,17.0,257.0,4087.0,0.39,377.0,1.0,13.0,25687041.0,0.0,0.0,0.0,0.0,0.0
69,AUS,Australia,Oceania,2020-03-31,4559.0,18.0,358.0,4183.0,0.39,198.0,1.0,101.0,25687041.0,0.0,0.0,0.0,0.0,426.0
70,AUS,Australia,Oceania,2020-04-01,4862.0,20.0,422.0,4420.0,0.41,303.0,2.0,64.0,25687041.0,0.0,0.0,0.0,0.0,441.0
71,AUS,Australia,Oceania,2020-04-02,5116.0,24.0,520.0,4572.0,0.47,254.0,4.0,98.0,25687041.0,0.0,0.0,0.0,0.0,415.0
72,AUS,Australia,Oceania,2020-04-03,5330.0,28.0,649.0,4653.0,0.53,214.0,4.0,129.0,25687041.0,0.0,0.0,0.0,0.0,457.0
73,AUS,Australia,Oceania,2020-04-04,5550.0,30.0,701.0,4819.0,0.54,220.0,2.0,52.0,25687041.0,0.0,0.0,0.0,0.0,490.0
74,AUS,Australia,Oceania,2020-04-05,5687.0,35.0,757.0,4895.0,0.62,137.0,5.0,56.0,25687041.0,0.0,0.0,0.0,0.0,457.0
75,AUS,Australia,Oceania,2020-04-06,5797.0,40.0,1080.0,4677.0,0.69,110.0,5.0,323.0,25687041.0,0.0,0.0,0.0,0.0,305.0
